max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
-0.02,35,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,-,-",3800,1,0.246
0.01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,방화대로,방화대로34길",3800,1,0.429
0.09,60,20,21,0,40,60,40,0,0,60,0,0,0,0,"방화대로,올림픽대로,-",5600,7,4.5
-0.06,224,120,39,120,142,59,20,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,올림픽대로",9400,19,9.4
0.0,0,0,60,41,40,61,100,40,0,0,20,0,0,0,"송내대로,경인고속도로,국회대로",11110,27,9.8
-0.09,340,120,41,78,20,0,0,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,올림픽대로",8000,18,7.6
-0.05,98,60,40,100,160,40,0,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,올림픽대로",7600,15,7.1
-0.03,80,0,21,60,20,0,0,0,0,0,0,0,0,0,"올림픽대로,양천로,금낭화로",6700,17,5.2
-0.04,40,0,0,0,0,0,0,0,0,0,0,0,0,0,"금낭화로24나길,방화대로,방화대로",3800,6,1.3
-0.09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로50길,방화대로52길,양천로27길",3800,5,1.7
0.02,0,115,40,0,0,0,0,0,0,0,0,0,0,0,"개화동로,양천로,금낭화로",5100,11,3
0.03,0,20,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,금낭화로24가길,금낭화로26길",3800,3,0.886
2948.19,80,50,53,8,4,17,0,0,0,0,0,0,0,0,"양천로1길,금낭화로,초원로",3800,8,2.1
2475.51,34,75,57,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙5로,마곡중앙로,마곡중앙14로",3800,7,2
1717.6,33,111,0,61,0,0,0,0,0,0,0,0,0,0,"마곡중앙14로,마곡중앙로,양천로",5000,11,3.3
3795.61,706,466,312,180,258,120,30,7,42,80,0,0,0,0,"올림픽대로,노들로,사평대로",32410,70,28
2696.0,21,51,0,0,0,0,0,0,0,0,0,0,0,0,"방화동로,초원로,금낭화로11길",3800,4,0.674
2381.4,73,28,0,0,0,0,0,0,0,0,0,0,0,0,"개화동로8길,개화동로,양천로1길",3900,8,2.1
3150.19,669,235,240,66,226,242,141,232,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",26700,70,25
3636.93,606,381,236,81,219,134,172,88,44,0,0,0,0,0,"올림픽대로,노들로,사평대로",26900,71,25
3721.0,431,489,105,246,133,120,371,108,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",32410,70,28
3061.52,543,699,192,301,195,8,225,87,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",26500,71,25
2408.57,65,101,73,0,0,0,0,0,0,0,0,0,0,0,"방화대로,양천로,양천로1길",3800,7,2.1
3348.283447,633,397,264,67,219,254,192,67,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",26900,71,25
4449.38,619,339,228,458,170,176,113,48,0,0,0,0,0,0,"올림픽대로,노들로,사평대로",32410,70,28
2240.25,141,51,57,49,0,0,0,0,0,0,0,0,0,0,"양천로1길,양천로,마곡중앙로",4600,10,3.1
1652.28,17,39,55,0,0,0,0,0,0,0,0,0,0,0,"마곡서로,마곡중앙5로,마곡서1로",3800,5,1
3357.72,32,50,17,38,2,42,0,0,0,0,0,0,0,0,"마곡서1로,방화대로,양천로",3800,7,2.1
1082.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로1길,-,-",3800,1,0.024
2496.3,75,53,68,5,16,0,0,0,0,0,0,0,0,0,"양천로1길,양천로,방화대로",4000,8,2.3
1691.26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,-,-",3800,1,0.10300000000000001
1408.02,0,0,28,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,초원로,방화동로",3800,3,0.6880000000000001
